source_bucket,numeric_song_id,status,primary_key,primary_frame_pc,primary_correlation,primary_margin,secondary_key,secondary_frame_pc,secondary_correlation,secondary_margin,error
src_001,1,REVIEW_LOW_CONFIDENCE,C,0,0.9097353050628827,0.280686102686317,C,0,0.850707639439326,0.03140696400237186,
src_001,4,REVIEW_LOW_CONFIDENCE,F#,6,0.8042937085713733,0.03890134543699153,F#,6,0.865512469863071,0.02665650838134892,
src_001,6,AMBIGUOUS_FRAME_DISAGREEMENT,E,4,0.8701405992799025,0.15989945237791858,e,7,0.8147067786818587,0.0003128183588622102,
src_001,9,REVIEW_LOW_CONFIDENCE,D,2,0.8098787594048952,0.04930211249793903,D,2,0.8260624923979528,0.07114337486336264,
src_001,11,REVIEW_LOW_CONFIDENCE,c,3,0.9133713625268558,0.38214288119532,c,3,0.773048950418987,0.004399280245600767,
src_001,15,AMBIGUOUS_FRAME_DISAGREEMENT,Eb,3,0.8839828329898197,0.020756902379333697,Ab,8,0.9323486825122776,0.1400449474473232,
src_001,19,AMBIGUOUS_FRAME_DISAGREEMENT,A,9,0.7895127091679889,0.052044614427403824,e,7,0.845250355774933,0.008056697742146235,
src_001,20,AMBIGUOUS_FRAME_DISAGREEMENT,F,5,0.8115543626777311,0.057269364107710996,f,8,0.906081777462322,0.15421242235742783,
src_001,22,REVIEW_LOW_CONFIDENCE,Eb,3,0.8600351516202792,0.018106131091023436,Eb,3,0.8705282527784546,0.1177158948788799,
src_001,23,REVIEW_LOW_CONFIDENCE,D,2,0.7775944369837343,0.010202645857465886,D,2,0.8966043576140662,0.16845678095014494,
src_001,24,AMBIGUOUS_FRAME_DISAGREEMENT,bb,1,0.7815658579023508,0.09154416447689717,F#,6,0.8791284675743861,0.09240203268947611,
src_001,28,REVIEW_LOW_CONFIDENCE,Ab,8,0.7692689462201845,0.0017231480234847218,f,8,0.7693325767287126,0.10819895348471564,
src_001,32,REVIEW_LOW_CONFIDENCE,G,7,0.8389635632708192,0.33147411841327923,G,7,0.6791958297088306,0.04025347963250281,
src_001,33,AMBIGUOUS_FRAME_DISAGREEMENT,e,7,0.8050830930310363,0.19609427043396566,C,0,0.808274613458594,0.009549181682098395,
